# XviD 2pass stat file (core version 1.4.-127)
# Please do not modify this file

p 2 1 8019 140 68923 11205
p 2 16 8045 99 85102 11902
p 2 1 8052 107 76373 11587
p 2 1 8028 131 69475 11310
p 2 16 8070 74 89452 12231
p 2 1 8081 78 82841 11922
p 2 2 8033 125 69426 11239
p 2 12 8064 84 87438 11967
p 2 1 8088 71 77207 11664
p 2 2 8061 97 69850 11409
p 2 16 8086 58 85271 12023
p 2 4 8070 86 82744 11931
p 2 4 8040 116 68810 11264
p 2 36 8038 86 85630 11968
p 2 3 8059 98 77359 11583
p 2 2 8048 110 68927 11276
p 2 11 8078 71 89975 12102
p 2 4 8094 62 82226 11919
p 2 4 8017 139 69353 11205
p 2 20 8055 85 88978 12034
p 2 3 8068 89 77837 11591
p 2 1 8071 88 70123 11295
p 2 10 8078 72 86616 11946
p 2 1 8087 72 83106 11882
p 2 3 8033 124 68595 11114
p 2 15 8052 93 85502 11869
p 2 0 8077 83 77892 11654
p 2 0 8053 107 70037 11179
p 2 17 8072 71 91160 12201
p 2 1 8098 61 83961 11952
p 2 3 8043 114 71057 11178
p 2 24 8055 81 89177 12004
p 2 1 8087 72 79318 11643
p 2 3 8058 99 71571 11261
p 2 5 8097 58 88013 11948
p 2 1 8115 44 84421 11906
p 2 3 8059 98 71831 11285
p 2 26 8069 65 87979 11972
p 2 2 8101 57 79577 11712
p 2 0 8062 98 70863 11172
p 2 13 8065 82 89633 12028
p 2 4 8098 58 81388 11729
p 2 0 8048 112 76492 11518
i 2 8160 0 0 227749 33077
p 2 0 7127 1033 28358 8864
p 2 0 7213 947 30323 9320
p 2 1 7287 872 35928 9656
p 2 0 7185 975 30471 9148
p 2 1 7427 732 33009 9674
p 2 0 7225 935 37174 9600
p 2 0 6915 1245 31536 9120
p 2 1 7165 994 35296 9610
p 2 1 7152 1007 39223 9733
p 2 1 6932 1227 32083 9168
p 2 2 7272 886 34570 9528
p 2 0 6971 1189 36288 9413
p 2 3 6974 1183 32770 9253
p 2 0 7061 1099 35914 9570
p 2 0 7180 980 39490 9764
p 2 2 6901 1257 33545 9243
p 2 0 7255 905 35424 9587
p 2 1 6870 1289 36853 9383
p 2 3 6902 1255 33274 9189
p 2 2 7078 1080 36376 9544
p 2 4 7140 1016 39703 9769
p 2 2 6780 1378 33016 9125
p 2 3 7193 964 35454 9578
p 2 3 6898 1259 37463 9473
p 2 2 6865 1293 33096 9194
p 2 3 6988 1169 36194 9492
p 2 2 7076 1082 39523 9712
p 2 1 6883 1276 32693 9223
p 2 2 7220 938 35097 9584
p 2 5 7008 1147 36603 9498
p 2 2 6837 1321 32899 9164
p 2 0 7065 1095 35325 9558
p 2 2 7197 961 39290 9752
p 2 2 6776 1382 32334 9141
p 2 2 7251 907 35925 9689
p 2 0 6884 1276 36347 9341
p 2 2 6822 1336 32429 9116
p 2 0 7018 1142 34939 9498
p 2 0 7002 1158 38925 9636
p 2 0 6743 1417 32467 9089
p 2 0 7323 837 35480 9641
p 2 1 6928 1231 36784 9431
p 2 0 6832 1328 32349 9108
p 2 0 6943 1217 35148 9425
p 2 1 7039 1120 38199 9556
p 2 6 6660 1494 32468 9018
p 2 6 7221 933 36026 9696
p 2 4 6949 1207 37581 9558
p 2 6 6885 1269 33139 9244
p 2 8 6917 1235 36179 9485
p 2 15 7054 1091 39232 9743
p 2 15 6708 1437 33581 9215
p 2 11 7327 822 36711 9862
p 2 10 6984 1166 38868 9675
p 2 13 7069 1078 33089 9456
p 2 13 6947 1200 36820 9427
p 2 11 6636 1513 32454 8984
p 2 12 7040 1108 35871 9516
p 2 17 6919 1224 37534 9455
i 2 8160 0 0 285662 33878
p 2 1 7232 927 47156 9328
p 2 1 7699 460 56296 9630
p 2 8 7588 564 72287 10283
p 2 1 7535 624 57675 9727
p 2 3 7517 640 60847 9987
p 2 4 7863 293 77134 10715
p 2 2 7539 619 72396 10541
p 2 0 7479 681 56807 9661
p 2 16 7728 416 72277 10433
p 2 1 7630 529 63801 10219
p 2 1 7326 833 58751 9627
p 2 5 7906 249 75489 10623
p 2 4 7475 681 73097 10466
p 2 1 7581 578 58012 9763
p 2 5 7572 583 70732 10213
p 2 4 7738 418 64402 10309
p 2 1 7232 927 60136 9647
p 2 5 7877 278 74667 10631
p 2 0 7420 740 73991 10358
p 2 1 7504 655 58045 9647
p 2 3 7577 580 73004 10276
p 2 1 7691 468 64808 10277
p 2 1 7304 855 59829 9623
p 2 6 7914 240 77046 10749
p 2 2 7518 640 73784 10460
p 2 0 7595 565 58878 9746
p 2 21 7747 392 74211 10478
p 2 2 7710 448 65228 10301
p 2 1 7438 721 60760 9771
p 2 8 7905 247 76378 10702
p 2 0 7646 514 73987 10593
p 2 0 7516 644 58862 9713
p 2 1 7779 380 71980 10321
p 2 1 7707 452 64896 10272
p 2 0 7369 791 60390 9679
p 2 4 7892 264 76704 10664
p 2 4 7686 470 74564 10620
p 2 0 7504 656 59771 9723
p 2 5 7866 289 74070 10452
p 2 1 7627 532 66051 10294
p 2 2 7457 701 60514 9764
p 2 5 7930 225 77638 10748
p 2 0 7748 412 74579 10627
p 2 0 7518 642 58482 9680
p 2 18 7954 188 74136 10601
p 2 2 7700 458 64999 10303
p 2 1 7581 578 60851 9878
p 2 6 7880 274 76833 10676
p 2 1 7694 465 74312 10595
p 2 0 7565 595 59554 9753
p 2 3 7868 289 72503 10402
p 2 0 7637 523 65421 10235
p 2 1 7592 567 61094 9837
p 2 4 7890 266 75553 10626
p 2 0 7722 438 75255 10595
p 2 2 7433 725 59573 9630
p 2 6 7841 313 74026 10508
p 2 1 7661 498 65205 10220
p 2 1 7597 562 60592 9855
p 2 8 7888 264 78781 10769
p 2 2 7726 432 74775 10635
p 2 0 7505 655 58916 9644
p 2 21 7897 242 76479 10615
p 2 0 7662 498 65987 10267
p 2 0 7394 766 61276 9731
p 2 9 7844 307 75759 10624
p 2 1 7632 527 74574 10553
p 2 0 7552 608 59253 9644
p 2 0 7881 279 72494 10472
p 2 1 7658 501 66031 10199
p 2 1 7472 687 61043 9781
p 2 5 7901 254 75677 10622
p 2 0 7622 538 75051 10501
p 2 1 7530 629 59441 9682
p 2 4 7860 296 73258 10419
p 2 2 7651 507 66336 10223
p 2 1 7477 682 61820 9757
p 2 6 7801 353 77257 10639
p 2 0 7558 602 75018 10456
p 2 1 7450 709 59660 9550
p 2 19 7815 326 74662 10532
p 2 1 7554 605 66269 10035
p 2 1 7177 982 61367 9541
p 2 5 7816 339 75248 10514
p 2 1 7548 611 73840 10389
p 2 0 7430 730 57850 9424
p 2 4 7787 369 70248 10221
p 2 0 7589 571 64326 10051
p 2 0 7451 709 59552 9572
p 2 3 7783 374 75242 10413
p 2 0 7594 566 72105 10299
p 2 1 7263 896 57453 9294
p 2 5 7685 470 74562 10223
p 2 0 7380 780 56997 9510
p 2 2 7539 619 62042 9878
p 2 8 7602 550 84934 10674
p 2 1 7428 731 54536 9265
p 2 3 7172 985 60532 9448
p 2 15 7251 894 73090 9770
p 2 1 7541 618 63458 9869
p 2 0 7071 1089 71749 9704
p 2 6 7148 1006 72184 9569
p 2 0 7103 1057 65507 9323
p 2 0 6670 1490 62494 8895
p 2 3 7519 638 86165 10353
p 2 3 4779 3378 12615 5646
p 2 2 2332 5826 6033 3237
p 2 1 1929 6230 5190 2854
p 2 3 1834 6323 5013 2716
p 2 2 1713 6445 4896 2661
i 2 8160 0 0 366118 35011
p 2 5 7956 199 50900 9143
p 2 9 8014 137 51941 9025
p 2 8 8009 143 73486 9352
p 2 7 7999 154 54579 9177
p 2 8 7946 206 58429 9793
p 2 11 7926 223 66750 9388
p 2 2 8005 153 53917 9228
p 2 7 7980 173 49038 8989
p 2 6 7983 171 55456 9190
p 2 3 7994 163 57658 9731
p 2 5 7990 165 47631 8815
p 2 13 8029 118 86069 9980
p 2 5 7954 201 49865 8884
p 2 11 7969 180 50865 9016
p 2 4 7955 201 82684 10284
p 2 6 7890 264 52337 8910
p 2 2 7993 165 51366 9274
p 2 8 8038 114 97546 10049
p 2 1 7973 186 56122 9348
p 2 5 7953 202 52799 8782
p 2 8 8007 145 78382 9944
p 2 4 8009 147 52442 9011
p 2 3 7900 257 57648 9664
p 2 17 7905 238 91097 9773
p 2 4 7981 175 60897 9558
p 2 5 7944 211 52998 8908
p 2 11 8021 128 88449 9949
p 2 7 7964 189 61672 9782
p 2 10 7960 190 55834 9054
p 2 18 7967 175 83823 9923
p 2 5 7967 188 52315 8986
p 2 11 7981 168 60153 9305
p 2 12 7883 265 74329 10120
p 2 5 7888 267 54101 9082
p 2 3 7953 204 57868 9235
p 2 6 7919 235 62416 9155
p 2 1 7966 193 59700 9186
p 2 2 8025 133 56371 9704
p 2 3 7978 179 61314 9087
p 2 3 8010 147 56121 9244
p 2 2 7964 194 49342 8871
p 2 9 8009 142 65543 9305
p 2 6 7951 203 56938 9712
p 2 3 7924 233 49943 8945
p 2 6 8012 142 66649 9424
p 2 7 7934 219 49846 8894
p 2 2 8035 123 51531 9022
p 2 3 7963 194 65986 9723
p 2 3 7909 248 55737 8964
p 2 1 8004 155 51713 8984
p 2 9 8011 140 61874 9201
p 2 1 7952 207 53265 9003
p 2 2 7958 200 49581 8962
p 2 5 7915 240 58102 8859
p 2 0 8046 114 48468 8928
p 2 2 7965 193 47984 8692
p 2 3 8038 119 50541 8941
p 2 0 8023 137 51405 8916
p 2 1 7961 198 50415 8831
i 2 8160 0 0 277751 33854
p 2 1 7874 285 45252 8942
p 2 0 8031 129 47481 9119
p 2 0 8021 139 45357 8937
p 2 1 7958 201 46666 8867
p 2 0 7964 196 48373 9150
p 2 1 8044 115 52097 9183
p 2 2 7947 211 47202 8961
p 2 1 7907 252 43602 8874
p 2 0 8025 135 51491 9308
p 2 2 8026 132 44779 9064
p 2 0 7990 170 43135 8660
p 2 0 7974 186 53217 9119
p 2 1 7921 238 45628 8888
p 2 2 7900 258 42696 8851
p 2 2 7926 232 51011 9207
p 2 0 7955 205 44092 8958
p 2 1 7843 316 42287 8487
p 2 15 7946 199 69414 9766
p 2 0 7909 251 46551 9007
p 2 0 7872 288 42352 8769
p 2 8 7961 191 61874 9750
p 2 2 8000 158 44131 9045
p 2 3 7941 216 42714 8558
p 2 3 7993 164 64450 9621
p 2 1 7948 211 45694 8953
p 2 1 7901 258 42134 8760
p 2 2 7981 177 50886 9275
p 2 0 7972 188 43892 8964
p 2 0 7939 221 42975 8551
p 2 1 7979 180 51809 9140
